subject,predicated,object
Aid_for_Trade,subClassOf,Green_Indicators
has_Forest_management,domain,Life_On_Land
Road_traffic_injuries,label,Road_traffic_injuries
has_Extreme_poverty,domain,No_Poverty
Ne98bcf47bbce417382444fc4b71121c7,cardinality,1
Nd329bb103ee44924a29b935104ad815d,first,No_Poverty
Decent_Work_and_Economic_Growth,subClassOf,N2c7fbca325654e8da7950be849eab745
N4e0536e00146480da5b1785d315df29e,onClass,Violence_by_non_partner
N3bd49a91353f45f094f9ba40950614e7,type,Restriction
Sustainable_Cities_and_Communities,subClassOf,Nb63c37f5d1e04dd1be2f56fc219c9946
Urban_planning,type,Class
Quality_Education,subClassOf,N767c3e3727194c0b8f962ab07d25c256
Institutional_representation,subClassOf,Red_Indicators
N60cbeb04b1e3461f8d640fbee5274e1f,onProperty,has_violence_prevalence
N76dfa42d108a4987b730d7bf18ecfa77,onProperty,has_Own_health_decisions
Manufacturing_employment,type,Class
N00086603ee3d4f359f53c28820959c1e,onProperty,has_Women_in_management
has_Research_for_marine_tech,domain,Life_Below_Water
has_Financial_services_access,type,ObjectProperty
N13d79d4f0e1e478b84621be190b46eb6,cardinality,1
Industry_Innovation_and_Infrastructure,subClassOf,N877c84d6d68148f7bb6f017741484143
has_Maternal_mortality,range,Maternal_mortality
has_Personal_remittances,domain,Partnerships_for_The_Goals
N3e84f9dd79474a0aa100f1bb3b25d074,onProperty,has_ODA_to_agri
Nb355422b1cba48b9a1036e053b4a5328,onProperty,has_R_and_D_spending
Affordable_and_Clean_Energy,subClassOf,N79b1144bc6944df1b41e1c0b2afb1879
has_Differential_tariffs,label,Differential_tariffs
SDG_support,type,Class
SDG_support,subClassOf,Green_Indicators
has_Material_footprint,label,Material_footprint
has_Fish_stocks_levels,range,Fish_stocks_levels
N9d60bb1c5bd340bb87250306e32f8e07,cardinality,1
has_Corporate_sust_reports,label,Corporate_sust_reports
National_results_framework,label,National_results_framework
has_Govt_expenditure_in_budgets,label,Govt_expenditure_in_budgets
has_Human_trafficking,type,ObjectProperty
N758c96d115e149c7ae95e033890e0855,onProperty,has_Maternal_mortality
has_Broadband_subscriptions,type,ObjectProperty
Ne6f423be8797441b93a251a9a60d7026,onProperty,has_Pre_primary_participation
N6a49d7295bed44a0a5be180bac13cfaf,onClass,Neglected_tropical_disease
has_Mobile_phone_ownership,domain,Gender_Equality
ODA_for_forests,label,ODA_for_forests
Prod_per_labour_unit,type,Class
Good_health_and_well_being,subClassOf,Sustainable_Development_Goals
N09f14827689c4f4d8020494010519db3,onClass,Sustainable_urbanization
N3115a7fca4bc411794db92d429f575e1,cardinality,1
has_Homicides_rate,type,ObjectProperty
N542167632131432289f042496c23e087,onClass,Support_sust_production
has_National_results_framework,label,National_results_framework
has_Society_partnerships,range,Society_partnerships
Nb63c37f5d1e04dd1be2f56fc219c9946,type,Restriction
Nfa2fed19ccfb4a6b9ed133dfee824f41,type,Restriction
has_Manufacturing_value,type,ObjectProperty
has_Alcohol_intake,domain,Good_health_and_well_being
N961e7659fa2e4f89ad151ce96ca3f6b4,onClass,Govt_spending
N3c63923163d3448d869e16ac5f994f96,cardinality,1
has_ODA_for_forests,domain,Life_On_Land
Small_scale_fisher_support,label,Small_scale_fisher_support
Hepatitis_B_incidence,subClassOf,Green_Indicators
N7357ab605bbb4f97a22fc6ac66ed7bf1,type,Restriction
Agri_orientation_index,type,Class
Ne4495b181fd746a9b53d3022041a2126,onClass,Children_on_track
Partnerships_for_The_Goals,subClassOf,Ndca8785d5b2240b99242c38eb8bdb6ba
Nddc93b1b57ea4db4b1d33c390195108e,type,Restriction
N2d889bf773d14db2921c806eff8b389f,cardinality,1
Nc318be26e0b548db8a03540d97c4bb2d,onProperty,has_Health_workers
Ne0eab10cae3a4079b2d9136e4892a974,cardinality,1
Peace_Justice_and_Strong_Institutions,subClassOf,N3115a7fca4bc411794db92d429f575e1
has_Water_sanitation_deaths,label,Water_sanitation_deaths
has_Biodiversity_planning,type,ObjectProperty
Seized_or_surrendered_arms,label,Seized_or_surrendered_arms
Birth_registration,type,Class
N08c44b2508f84c16967a7403c0a8f403,cardinality,1
N5be17281eb2f4de4a774fb5fe78d3d7d,onClass,Global_food_loss
N1c2f09b51fb1424e9421143b9859ee86,onProperty,has_Sustainable_tourism
N03256c78d1f844ea8a745f12d7ce4b3a,onProperty,has_Development_assistance
ODA_for_biodiversity,subClassOf,Green_Indicators
has_Debt_service,label,Debt_service
N34708efd99f14e92886c9c12548aa160,cardinality,1
Ncd8021040f444ca5bb3520967adb6d3d,type,Class
has_Inflows_to_poverty_red,type,ObjectProperty
Recycling_rates,type,Class
N23294e08c6544a69aa064af9f5f19194,onProperty,has_Financial_services_access
has_Sustainable_lifestyles,label,Sustainable_lifestyles
N6a49d7295bed44a0a5be180bac13cfaf,type,Restriction
N1192f37823ba453aaf3ac5c60fc8aab4,type,Restriction
N6b9ea41485e649edb87fcf8d1a88476d,onClass,Multistakeholder_progress
Na952a8fcab3d47ad823081afd91ffa86,cardinality,1
N841cf15618bd4a12a72649477436118f,onProperty,has_Differential_tariffs
Developing_nation_exports,type,Class
has_Secure_land_rights,domain,No_Poverty
has_ODA_from_OECD,label,ODA_from_OECD
has_Sustainable_tourism_jobs,range,Sustainable_tourism_jobs
Sustainable_Development_Goals,member,Industry_Innovation_and_Infrastructure
has_Financial_services_access,label,Financial_services_access
has_Inclusive__safe_school,range,Inclusive__safe_school
Sexual_violence,subClassOf,Yellow_Indicators
Access_further_education,subClassOf,Yellow_Indicators
Poverty_reduction_prog,type,Class
Discriminatory_practices,type,Class
N71ff3c46c42f4865a387c5b1d3aa428d,type,Restriction
N3fbf6f86edfe4cebb0694e58a4fbe99f,type,Restriction
Good_health_and_well_being,subClassOf,N6de0d23e5e5b4223a020323235fe097f
N52ec73992fab402ca9c2a63b04a85f33,onClass,Alcohol_intake
Zero_Hunger,subClassOf,Sustainable_Development_Goals
N9aa963a31c0c450c8edd17eaf063b24e,type,Restriction
N0cd64e700fc74edf96a998ec2c1bf20a,type,Restriction
has_Youth_education_or_training,type,ObjectProperty
Sustainable_Development_Goals,type,Group
N2d889bf773d14db2921c806eff8b389f,onClass,Genital_mutilation
Decent_Work_and_Economic_Growth,type,Class
SDG_support,label,SDG_support
N08fa28cb23184f679dea3dc21b3bcfe3,onClass,High_tech_industry_value
N21032fb37034425697c356ed822622b9,onClass,Public_discrimination
has_Child_stunting,range,Child_stunting
has_Human_rights_institutions,type,ObjectProperty
has_Prod_per_labour_unit,type,ObjectProperty
N9d3ba3194e254ff6a1e6c3d792a8f13d,onClass,Sustainable_tourism_jobs
has_Marine_protected_areas,type,ObjectProperty
has_Access_to_clean_fuels,label,Access_to_clean_fuels
has_Clean_energy_investment,type,ObjectProperty
N696d652e953546269d30096cf3021ae6,type,Restriction
N546477627ee44bd591d5fa638c38b06a,onClass,Health_expenditure
N86888339cb5e46cd9520e216d73ac7ea,type,Restriction
N31e65be5cb654a10a9e6c7f774f277d0,onClass,Frameworks_for_gender
has_Conflict_related_deaths,domain,Peace_Justice_and_Strong_Institutions
has_Sustainable_buildings,domain,Sustainable_Cities_and_Communities
has_National_sust_plans,range,National_sust_plans
ODA_for_infrastructure,type,Class
has_Social_protection,type,ObjectProperty
Financial_soundness,label,Financial_soundness
Nb8a687b7ddd34a7d92cd0a0d21a94454,type,Restriction
Industry_Innovation_and_Infrastructure,subClassOf,N5ec6fbfa4bed457197194724d966a441
Nd69e8f4bb9184c399c28f0ba4b1a4164,onProperty,has_Child_labour
Goal_1,Concept,No_Poverty
N697acde9fa5b42fd900d2287ec16e92a,cardinality,1
Life_Below_Water,subClassOf,N83e1e765a173427ea1fe3eae213c8fdb
has_Tuberculosis_incidence,label,Tuberculosis_incidence
N8324c220a9dd4b9cbc14554b87424d28,onClass,Female_land_rights
N9999fffb70b2449ab71e77ccf12ba0fa,type,Restriction
has_Small_scale_fisher_support,range,Small_scale_fisher_support
has_Foreign_Direct_Investment,label,Foreign_Direct_Investment
has_Rural_road_access,type,ObjectProperty
Health_workers,label,Health_workers
Na02d771fbc024ba3b1d9e93d6947f285,cardinality,1
has_Marine_protected_areas,range,Marine_protected_areas
N0809baf80d7a4533b28e39564a461a0c,type,Class
N5698fd44f9a54e8f9b22acb46549abd8,cardinality,1
has_Neglected_tropical_disease,label,Neglected_tropical_disease
has_Sustainable_technologies,label,Sustainable_technologies
has_Wildlife_poaching,range,Wildlife_poaching
Red_Indicators,type,Class
N8e6820dd2bd94a0aad8bce790fd95cad,onClass,Safe_drinking_water
has_Literacy__numeracy,type,ObjectProperty
Food_insecurity,label,Food_insecurity
N758c96d115e149c7ae95e033890e0855,cardinality,1
Climate_Action,subClassOf,Nae2c925c20d144689bd47901d15a38c2
Nb7434516fab447889826427ee3a98da3,cardinality,1
N51aabe5bfdab46d5bc6054c317136564,type,Restriction
Inflows_to_poverty_red,label,Inflows_to_poverty_red
Industry_Innovation_and_Infrastructure,subClassOf,Nfebdc4e4fe114f4fa18652e00a299836
Zero_Hunger,subClassOf,N6ab7d2e40a0e4607b8966acc4669489a
Basic_services,type,Class
has_Public_discrimination,domain,Peace_Justice_and_Strong_Institutions
Health_staff_at_births,subClassOf,Green_Indicators
Female_land_rights,label,Female_land_rights
Support_sust_production,label,Support_sust_production
Multistakeholder_progress,subClassOf,Yellow_Indicators
has_Local_disaster_risk,domain,Nc9d48010cece4a2a81a20872c5097c8a
has_Sustainable_urbanization,range,Sustainable_urbanization
has_Ambient_water_quality,range,Ambient_water_quality
has_Occupational_injuries,range,Occupational_injuries
Nf4b8592bc258430eab067d803fd533d2,type,Restriction
Birth_registration,label,Birth_registration
Child_wasting_or_obesity,label,Child_wasting_or_obesity
has_R_and_D_spending,label,R_and_D_spending
N45f96a2a0c0d42c78da5815c4ff41e7c,type,Restriction
N6b9ea41485e649edb87fcf8d1a88476d,cardinality,1
N21032fb37034425697c356ed822622b9,cardinality,1
has_Investment_for_LDCs,label,Investment_for_LDCs
has_Sustainable_fishery_income,domain,Life_Below_Water
has_Energy_service_investment,label,Energy_service_investment
has_Transboundary_cooperation,range,Transboundary_cooperation
N697acde9fa5b42fd900d2287ec16e92a,type,Restriction
has_Illegal_unregulated_fishing,range,Illegal_unregulated_fishing
has_Ambient_water_quality,domain,Clean_Water_and_Sanitation
has_Migration_recruitment_cost,domain,Reduce_Inequalities
Partnerships_for_The_Goals,subClassOf,Nfc447dec38f9452daf9b402bf661d62a
Yellow_Indicators,subClassOf,Indicators
Sustainable_Development_Goals,member,Life_Below_Water
has_SDG_support,type,ObjectProperty
N38fe181fe9394e46809f42342b3980a6,onProperty,has_Census_completeness
has_Forest_area,domain,Life_On_Land
Nddc93b1b57ea4db4b1d33c390195108e,onClass,Inclusive_decision_making
Violence_by_partner,type,Class
N13d79d4f0e1e478b84621be190b46eb6,type,Restriction
N9b60462f5bee40eb935bae7254e77cd6,type,Restriction
Nfd1ab85d832042ac9496830477160fa6,onProperty,has_Hazardous_waste_agreement
N55f5fc37ab694b0e988cdcbfb0ab83d3,onProperty,has_Corporate_sust_reports
Forest_management,type,Class
Decent_Work_and_Economic_Growth,subClassOf,N145014458a834c9d90e48bef14b279ed
has_R_and_D_researchers,domain,Industry_Innovation_and_Infrastructure
N920c7680412549cb92e3acbc2e06088c,onClass,Sustainable_technologies
Genetic_resources,subClassOf,Yellow_Indicators
has_Neonatal_mortality,range,Neonatal_mortality
Tobacco_use,type,Class
Goal_16,Concept,Peace_Justice_and_Strong_Institutions
has_Hourly_earnings,type,ObjectProperty
Ncdb1f634a12e49f5841d67191b98e9b9,type,Restriction
N877c84d6d68148f7bb6f017741484143,onClass,R_and_D_researchers
Child_labour,label,Child_labour
has_Sustainable_lifestyles,type,ObjectProperty
Hepatitis_B_incidence,type,Class
has_Basic_services,domain,No_Poverty
Renewable_energy,type,Class
has_Food_insecurity,domain,Zero_Hunger
Climate_capacity_building,subClassOf,Red_Indicators
N37276e4595f2443d84bd081e6d9b9029,type,Restriction
Industry_Innovation_and_Infrastructure,subClassOf,Sustainable_Development_Goals
Secure_land_rights,type,Class
Good_health_and_well_being,subClassOf,N546477627ee44bd591d5fa638c38b06a
Disaster_risk_reduction,type,Class
N3fbf6f86edfe4cebb0694e58a4fbe99f,cardinality,1
Ne9ab40f04b294549a84befce6a04946e,type,Restriction
Na0aa8e67238743a9914ff23e67217cba,onClass,Statistical_capacity_resource
Own_health_decisions,subClassOf,Yellow_Indicators
N54fbf57c9e644a16b67bc1ed46d2d956,onClass,Fossil_fuel_subsidies
Frameworks_for_gender,type,Class
Ndca8785d5b2240b99242c38eb8bdb6ba,onProperty,has_Developing_nation_exports
has_ODA_to_agri,range,ODA_to_agri
has_Access_further_education,range,Access_further_education
Sanitation__handwashing,label,Sanitation_&_handwashing
has_Child_wasting_or_obesity,label,Child_wasting_or_obesity
Nd7964adcd0ab44eb901f884884b6b508,cardinality,1
N31d229be9d444e289bd444b70d4da223,first,Sustainable_Cities_and_Communities
has_Emergency_preparedness,domain,Good_health_and_well_being
N8324c220a9dd4b9cbc14554b87424d28,cardinality,1
Nfc447dec38f9452daf9b402bf661d62a,cardinality,1
Ndca8785d5b2240b99242c38eb8bdb6ba,onClass,Developing_nation_exports
Youth_employment_strategy,type,Class
ODA_to_health,type,Class
GDP_per_capita_growth,label,GDP_per_capita_growth
Ncb6010ece10e42e1b73fb076fe98e41b,type,Restriction
has_Financial_soundness,label,Financial_soundness
Recycling_rates,label,Recycling_rates
Sustainable_Cities_and_Communities,subClassOf,Nbd3ddaa92328410e9ce7efd50c47567f
has_Time_on_domestic_work,range,Time_on_domestic_work
N1b09fac222fd457f9e4df9839efb875e,type,Restriction
Climate_capacity_building,type,Class
has_Financial_services_access,range,Financial_services_access
has_Domestic_consumption,domain,Ncd8021040f444ca5bb3520967adb6d3d
N52ec73992fab402ca9c2a63b04a85f33,type,Restriction
Goal_15,Concept,Life_On_Land
has_Hazardous_waste_agreement,range,Hazardous_waste_agreement
N0b8626c50cfe438684cf2bc99bb31048,cardinality,1
N08fa28cb23184f679dea3dc21b3bcfe3,cardinality,1
has_Conflict_related_deaths,range,Conflict_related_deaths
has_Unemployment_rate,range,Unemployment_rate
Disaster_losses,type,Class
Good_health_and_well_being,subClassOf,N1b30c55a4b7d4c2f85a7701b6527a2c8
Marine_ecosystems,type,Class
has_Forced_marriage,domain,Gender_Equality
Vaccine_coverage,subClassOf,Green_Indicators
Solid_waste_management,label,Solid_waste_management
has_Health_workers,range,Health_workers
Maternal_mortality,type,Class
has_Treated_wastewater,label,Treated_wastewater
N21d884eb4bfd4572a5bba844af3e104e,onClass,Hazardous_waste
Yellow_Indicators,label,Yellow_Indicators
Partnerships_for_The_Goals,subClassOf,N86818bfbb1074ea1a4564e31d0798d61
has_Fish_stocks_levels,domain,Life_Below_Water
ICT_skills,subClassOf,Yellow_Indicators
Illegal_unregulated_fishing,label,Illegal_unregulated_fishing
has_Pop_less_than_Fifty_percent_median_income,label,Pop_less_than_Fifty_percent_median_income
has_Medicine_availability,range,Medicine_availability
has_Tracking_gender_equality,domain,Gender_Equality
has_Local_sanitation_Mgmt,type,ObjectProperty
has_Water_ecosystems,label,Water_ecosystems
has_R_and_D_researchers,label,R_and_D_researchers
has_ODA_for_biodiversity,domain,Life_On_Land
N3115a7fca4bc411794db92d429f575e1,type,Restriction
N696d652e953546269d30096cf3021ae6,onClass,Reading_proficiency
Sustainable_Development_Goals,member,Decent_Work_and_Economic_Growth
N68cf8baa552b4eb3a27feeb96c3d81fc,onProperty,has_Human_trafficking
has_Clean_energy_investment,label,Clean_energy_investment
N920c7680412549cb92e3acbc2e06088c,cardinality,1
has_Personal_remittances,type,ObjectProperty
Manufacturing_value,subClassOf,Green_Indicators
Nb22a8a7df5c444c694f8887c88e62619,onClass,Integration_climate_policies
N6de0d23e5e5b4223a020323235fe097f,type,Restriction
N3e84f9dd79474a0aa100f1bb3b25d074,onClass,ODA_to_agri
has_Road_traffic_injuries,label,Road_traffic_injuries
has_Child_stunting,type,ObjectProperty
has_Hazardous_waste_agreement,type,ObjectProperty
Responsible_Consumption_and_Production,subClassOf,Nfd1ab85d832042ac9496830477160fa6
Nf372d4f0f38047e59527a99bde9b389c,onProperty,has_Sanitation__handwashing
has_Youth_employment_strategy,range,Youth_employment_strategy
N06ba3a3e103f4fa8b0d073c4934df8fd,onClass,Emergency_preparedness
Nf150eac1496849648580ad40df010a27,rest,N53a778ec99cc4574a23a135de0a8b8bb
has_Sustainable_technologies,domain,Partnerships_for_The_Goals
Disaster_deaths,type,Class
has_Small_scale_industry_value,label,Small_scale_industry_value
Inclusive_intl_participation,subClassOf,Green_Indicators
N06ba3a3e103f4fa8b0d073c4934df8fd,type,Restriction
Na9462ecc1fdc4710afd2e5a68f96ea1c,onClass,Sexual_health_access
ODA_to_health,subClassOf,Green_Indicators
N542167632131432289f042496c23e087,cardinality,1
Statistical_legislation,subClassOf,Red_Indicators
Seized_or_surrendered_arms,subClassOf,Red_Indicators
has_Informal_employment,label,Informal_employment
has_Support_sust_production,label,Support_sust_production
Life_Below_Water,subClassOf,Nac90cbe1a52a4e0eb19f6ee7de08c24d
N0247f2c5216443f3a1ac0abeaa65b621,onClass,CO_two_emissions_intensity
has_Access_further_education,type,ObjectProperty
Statistical_capacity,type,Class
Nf4b8592bc258430eab067d803fd533d2,onClass,Disaster_risk_reduction
Food_insecurity,type,Class
N27edecba17ac4d08aac3130b674d83fd,type,Restriction
has_Manufacturing_value,domain,Industry_Innovation_and_Infrastructure
has_Domestic_taxes,type,ObjectProperty
has_National_results_framework,domain,Partnerships_for_The_Goals
Nbebd74415ccf49f988345167fed73e87,onProperty,has_Illicit_financial_flows
has_Hepatitis_B_incidence,label,Hepatitis_B_incidence
No_Poverty,subClassOf,N5bd7fff890124db19a7a4a823f7dda29
Nc34fa6adc35d4cb6bfe6923ea72adbe5,type,Restriction
Nfc943a495a6c4c0f81a8f72827df0771,cardinality,1
N767c3e3727194c0b8f962ab07d25c256,onClass,ODA_for_scholarships
Fossil_fuel_subsidies,label,Fossil_fuel_subsidies
has_Youth_employment_strategy,type,ObjectProperty
N6b9ea41485e649edb87fcf8d1a88476d,onProperty,has_Multistakeholder_progress
has_Water_use_efficiency,range,Water_use_efficiency
has_Illicit_financial_flows,type,ObjectProperty
Life_Below_Water,label,Life_Below_Water
Ncb7fcd4e3ee045de9156dafb61601121,onProperty,has_Internet_use
has_Agri_export_subsidies,domain,Zero_Hunger
N8324c220a9dd4b9cbc14554b87424d28,type,Restriction
Non_communicable,type,Class
Journalist_media_killings,label,Journalist_media_killings
Nc1e33eaf44b44cd19f0361f7b1990d47,onClass,Non_communicable
has_Sexual_health_access,range,Sexual_health_access
has_Extreme_poverty,type,ObjectProperty
N69665175c83445f8a306afe47fdd8089,onProperty,has_Disparities_in_edu_access
Life_Below_Water,subClassOf,Nf66f2c5450dc4e8f800f0f0360695417
N60cbeb04b1e3461f8d640fbee5274e1f,type,Restriction
has_Degradad_land,label,Degradad_land
Disaster_risk_reduction,subClassOf,Green_Indicators
Nc3f5e5db825c48ca9b96763bd00548f0,cardinality,1
has_Differential_tariffs,type,ObjectProperty
has_ODA_for_infrastructure,label,ODA_for_infrastructure
Income_growth_inequality,type,Class
has_Equal_intl_participation,domain,Reduce_Inequalities
Unemployment_rate,type,Class
has_Fossil_fuel_subsidies,range,Fossil_fuel_subsidies
Life_On_Land,type,Class
N45868f2755044ded9e8206519a8a18ca,onProperty,has_National_sust_plans
N5be17281eb2f4de4a774fb5fe78d3d7d,type,Restriction
Nbe7cb782e9824f5a808110d583da4fbb,onClass,Forest_management
has_Support_for_Mgmt_plans,domain,Climate_Action
Human_trafficking,label,Human_trafficking
has_Tracking_gender_equality,range,Tracking_gender_equality
has_Maternal_mortality,type,ObjectProperty
Nb46f50123b8d4cab96032ee0ef35b3d1,onClass,Undernourichment
N34708efd99f14e92886c9c12548aa160,type,Restriction
Road_traffic_injuries,type,Class
Substance_use_treatment,label,Substance_use_treatment
Ncf1db9b246264fe88d01ebe041bf78c5,onClass,Local_sanitation_Mgmt
Zero_Hunger,type,Class
has_Sexual_health_access,domain,Gender_Equality
has_Sustainable_technologies,range,Sustainable_technologies
CO_two_emissions_intensity,subClassOf,Green_Indicators
has_Unsentenced_detainees,domain,Peace_Justice_and_Strong_Institutions
Sustainable_technologies,type,Class
has_Financial_services_access,domain,Decent_Work_and_Economic_Growth
Inclusive_intl_participation,label,Inclusive_intl_participation
has_Small_scale_farmer,label,Small_scale_farmer
Responsible_Consumption_and_Production,subClassOf,N21d884eb4bfd4572a5bba844af3e104e
Peace_Justice_and_Strong_Institutions,subClassOf,N60cbeb04b1e3461f8d640fbee5274e1f
N50fc80f94fed44b4a9ac3bcfd72d255c,type,Restriction
Wildlife_poaching,subClassOf,Red_Indicators
N1ded5fc49cc8417badb69435ba99efa0,type,Restriction
has_Mountain_biodiversity,label,Mountain_biodiversity
has_Occupational_injuries,domain,Decent_Work_and_Economic_Growth
N570151a4c9e24d188eb0e1d6b32c0c7d,cardinality,1
Local_risk_Mgmt,label,Local_risk_Mgmt
N1638933df7b34bc6a8af867897972f11,type,Restriction
N43052178a53d4b0b9cb856a49ca1540d,onProperty,has_Access_to_clean_fuels
has_National_statistical_plans,label,National_statistical_plans
Nf66f2c5450dc4e8f800f0f0360695417,type,Restriction
Female_land_rights,subClassOf,Green_Indicators
Nc318be26e0b548db8a03540d97c4bb2d,cardinality,1
has_Public_service_satisfaction,domain,Peace_Justice_and_Strong_Institutions
Support_for_Mgmt_plans,label,Support_for_Mgmt_plans
has_ODA_for_forests,type,ObjectProperty
edu_for_sust_development,type,Class
N89d169e0f2774c088804c6b591621c4e,type,Restriction
Na0aa8e67238743a9914ff23e67217cba,cardinality,1
N9b7bc84911cc40f3be4d5c54bf3d5cdc,onClass,Material_footprint
has_Sustainable_fishery_income,range,Sustainable_fishery_income
Policy_for_sust_development,type,Class
Wildlife_poaching,label,Wildlife_poaching
N758c96d115e149c7ae95e033890e0855,type,Restriction
has_Illicit_financial_flows,range,Illicit_financial_flows
Good_health_and_well_being,subClassOf,Nc1e33eaf44b44cd19f0361f7b1990d47
N76dfa42d108a4987b730d7bf18ecfa77,type,Restriction
N5e16abecc7094e249a0f033847872dde,cardinality,1
has_Developing_nation_exports,range,Developing_nation_exports
has_Informal_employment,range,Informal_employment
High_tech_industry_value,label,High_tech_industry_value
Good_health_and_well_being,subClassOf,N9eecc5b5aed14bc59526b3339380ba1e
has_Small_scale_farmer,domain,Zero_Hunger
N8e6820dd2bd94a0aad8bce790fd95cad,type,Restriction
Reduce_Inequalities,subClassOf,Na08553ae0b9b4750af0bed71cded8fbf
Good_health_and_well_being,subClassOf,N41042c5c7f6c49ab8c57756a304544d0
has_Sustainable_tourism,label,Sustainable_tourism
Green_Climate_Fund,label,Green_Climate_Fund
has_Aid_for_Trade,label,Aid_for_Trade
Nac90cbe1a52a4e0eb19f6ee7de08c24d,type,Restriction
Life_Below_Water,subClassOf,N1192f37823ba453aaf3ac5c60fc8aab4
Nd18cb6d7b55c4cbfb957c8e475de547b,cardinality,1
